# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Atal'ai Witch Doctor	아탈라이 의술사
Atal'alarion	아탈알라리온
Atepa	아테파
Athramanis	아스라마니스
Athridas Bearmantle	아스리다스 베어맨틀
Athrikus Narassin	애스리쿠스 나라신
Atiesh	아티쉬
Aturk the Anvil	무쇠모루 아투르크
Auberdine Sentinel	아우버다인 파수꾼
Aubrey Merton	오브리 머튼
Auctioneer Beardo	경매인 비어도
Auctioneer Buckler	경매인 버클러
Auctioneer Cain	경매인 케인
Auctioneer Cazarez	경매인 카자레즈
Auctioneer Chilton	경매인 칠톤
Auctioneer Drezbit	경매인 드레즈빗
Auctioneer Epitwee	경매인 에피튀
Auctioneer Fitch	경매인 피치
Auctioneer Golothas	경매인 골로서스
Auctioneer Graves	경매인 그레이브즈
Auctioneer Grimful	경매인 그림풀
Auctioneer Grizzlin	경매인 그리즐린
Auctioneer Gullem	경매인 굴렘
Auctioneer Jaxon	경매인 잭손
Auctioneer Kresky	경매인 크레스키
Auctioneer Kuzzlin	경매인 쿠즐린
Auctioneer Leeka	경매인 리카
Auctioneer Lympkin	경매인 림프킨
Auctioneer Naxxremis	경매인 낙스레미스
Auctioneer O'reely	경매인 오릴리
Auctioneer Redmuse	경매인 레드뮤즈
Auctioneer Reilin	경매인 레일린
Auctioneer Rhyker	경매인 라이커
Auctioneer Silva'las	경매인 실바라스
Auctioneer Sizewrench	경매사 사이즈렌치
Auctioneer Stampi	경매인 샴피
Auctioneer Stockton	경매인 스톡튼
Auctioneer Thathung	경매인 타퉁
Auctioneer Tolon	경매인 톨론
Auctioneer Tricket	경매인 트릭켓
Auctioneer Wabang	경매인 와방
Auctioneer Yarly	경매인 얄리
Augustus the Touched	정신나간 아우구스투스
Auld Stonespire	아울드 스톤스파이어
Aunassi	아우나시
Aurel Goldleaf	오렐 골드리프
Aurius	아우리우스
Aurora Skycaller	아우로라 스카이콜러
Austil de Mon	오스틸 드 몽
Automated Servitor	자동화된 서비터
Autumnal Treant	가을의 나무 정자
Avalanchion	아발란치온
Avarus Kharag	아바루스 카라그
Avatar of Hakkar	학카르의 화신
Avatar of Pompa	폼파의 화신
Avenant	아베난트
Avette Fellwood	아베트 펠우드
Avram Duskgarde	아브람 더스크가드
Avranagos	압라나곳
Awbee	아우비
Awenasa	아웨나사
Axis Spinpistol	액시스 스핀피스톨
Axtroz	악트로즈
Ayamiss the Hunter	사냥꾼 아야미스
Ayanna Everstride	아얀나 에버스트라이드
Azar Stronghammer	아자르 스트롱해머
Azj'Tordin	아즈토르딘
Azmela Shadowcrest	아즈멜라 섀도우크레스트
Azore Aldamort	아조레 알다모트
Azshanaya Spellwind	아즈샤나야 스펠윈드
Azshara Sentinel	아즈샤라 파수꾼
Azshir the Sleepless	잠들지 않는 아즈쉬르
Azure Frog	푸른개구리
Azure Living Statue	하늘빛 살아 있는 석상
Azure Slitherer	하늘빛 기어다니는 자
Azure Templar	청명 기사단
Azure Thalassian Hawkstrider	하늘빛 탈라시안 매타조
Azure Thunder Lizard	하늘빛 썬더 도마뱀
Azure Whelpling	작은 청색 새끼용
Azure Wind Serpent	하늘빛 바람 뱀
Azurebeak	푸른부리
Azuregos	아주어고스
Azurescale Manaweaver	푸른비늘 마나조직자
Azurescale Whelp	푸른비늘 새끼용
Azureshimmer Stagwing	하늘빛반짝이 스탁이응
Azurous	아주로우스
Azzere the Skyblade	창공의 칼날 아제레
Azzleby	아즐비
B-33 Shredder	B-33 벌목기
Babe	아기
Baby Shark	아기 상어
Baby Turtle	아기 거북이
Badly Injured Alliance Soldier	위태로운 얼라이언스 부상병
Badly Injured Soldier	위태로운 부상병
Bael Hardul Mountaineer	바엘 하르둘 산악보병
Bael Modan Golem	바엘 모단 골렘
Bael'dun Appraiser	바엘던 감정사
Bael'dun Digger	바엘던 채굴꾼
Bael'dun Excavator	바엘던 발굴인부
Bael'dun Foreman	바엘던 현장감독
Bael'dun Officer	바엘던 장교
Bael'dun Rifleman	바엘던 소총병
Bael'dun Soldier	바엘던 병사
Bael'Gar	밸가르
Baelfyr	바일피르
Baelog	밸로그
Bagalosh	바가로시
Bagaroh	바가로
Baggle Hackrust	배글 핵러스트
Bagnash	박나시
Bailey Stonemantle	바일리 스톤맨틀
Bailiff Conacher	집행관 코나처
Bailiff Lancaster	브에이립프 란캇텔
Bailor Stonehand	베일러 스톤핸드
Baine Bloodhoof	바인 블러드후프
Bakarsh	바카르시
Baker Masterson	제빵사 마스터슨
Balai Lok'Wein	발라이 로크웨인
Bald'aan The Quiet	"조용한" 발단
Baldruc	발드럭
Bale	베일
Balgaras the Foul	불한당 발가라스
Balgin Coalhands	발긴 코알한드스
Balgon Slin	발곤 슬린
Balir Frosthammer	발리르 프로스트해머
Balizar the Umbrage	증오의 발리자르
Balnack Copperlight	발낙 코퍼라이트
Balnazzar	발나자르
Balos Jacken	밸로스 제킨
Balthule Shadowstrike	발툴 섀도스트라이크
Balthus Stoneflayer	발투스 스톤플레이어
Baltocris	발토크리스
Baltus Fowler	발터스 파울러
Balzaphon	발자폰
Banal Spirit	떠도는 영혼
Banalash	바나래쉬
Banker Shalanna	은행원 샬란나
Bannermaster Shonte Daud	기수 션테 다우드
Bannok Grimaxe	반노크 그림액스
Bannor	배너
Bao Mao	바오 마오
Bar'thog the Wicked	"사악한" 바스톡
Barak Kodobane	바라크 코도베인
Barbara Lee	발바라 르이
Barbed Crustacean	가시껍질게
Barbed Lasher	뾰족가시 덩굴손
Bardu Sharpeye	바르두 샤프아이
Barg	바르그
Bargolnak	발골낙
Barim Jurgenstaad	바림 유르겐슈타드
Baristolth of the Shifting Sands	흐르는 모래의 바리스톨스
Baritanas Skyriver	바리타나스 스카이리버
Barithras Moonshade	바리스라스 문셰이드
Barkeep Clemens	바텐더 클레멘스
Barkeep Daniels	바텐더 대니얼스
Barkeep Dobbins	바텐더 도빈스
Barkeep Hann	바텐더 한
Barkeep Kelly	바텐더 켈리
Barkeep Morag	바텐더 모라그
Barkskin Avenger	나무껍질 복수자
Barkskin Den Watcher	나무껍질 굴 감시자
Barkskin Fisher	바크스킨 피셔
Barkskin Gardener	나무껍질 정원사
Barkskin Pathfinder	나무껍질 길잡이
Barkskin Ursa	나무껍질 곰전사
Barkskin Windtalker	나무껍질 바람말이
Barltok Kettleburn	바틀톡 케틀번
Barmaid Dela	바텐더 델라
Barnabus	바르나부스
Barnil Stonepot	바닐 스톤팟
Barnum Stonemantle	바르눔 스톤맨틀
Baron Aquanis	군주 아쿠아니스
Baron Bloodbane	남작 블러드베인
Baron Bobby	남작 봅비
Baron Caliban Silverlaine	실버레인 남작
Baron Charr	남작 차르
Baron Geddon	남작 게돈
Baron Kazum	남작 카줌
Baron Longshore	남작 롱쇼어
Baron Perenolde	바론 페레놀데
Baron Revilgaz	남작 레빌가즈
Baron Rivendare	남작 리븐데어
Baron Silverlaine	남작 실버레인
Baron Telraz	텔라즈 남작
Baron Vardus	남작 바르두스
Baroness Anastari	남작부인 아나스타리
Baros Alexston	바로스 알렉스턴
Barrens Giraffe	황무지 기린
Barrens Guard	불모의 땅 경비병
Barrens Kodo	황무지 코도
Barrens Zhevra	불모의 땅 제브라
Barrus	바루스
Barry Springberry	발리 스프리응벨리
Bart Natheldon	바트 나셀돈
Bart Tidewater	바트 타이드워터
Bartender Lillian	바텐더 릴리안
Bartender Wental	바텐더 웬탈
Bartholos	바솔로스
Barthos Thundercrank	바소스 썬더크랭크
Bartleby	바틀비
Bartolo Ginsetti	바르톨로 진세티
Barty Peverell	바티 페버렐
Barwegg Loadstone	발엑그 로앋스토네
Basalthar	바살스알
Bashana Runetotem	바샤나 룬토템
Basil Frye	바실 프라이
Basking Shark	해상어
Basutei	바수테이
Bath'rah the Windwatcher	바람의감시자 바스라
Batrider Pele'keiki	박쥐기수 펠레케이키
Battle Boar Horror	공포의 전투멧돼지
Battle Chicken	쌈닭
Battleboar	새끼 전투멧돼지
Battlebreaker	배틀브레이커
Battleguard Sartura	전투감시병 살투라
Battlemaster Ubukaz	밧트레맛텔 우부캇
Baxdi’zha	박디? 즈하
Baxxil	박실
Bayne	크르르
Bazil Thredd	바질 스레드
Bazz Eagerblast	바즈 이거블래스트
Bazzalan	바잘란
Beaky	비키
Bear Form (Night Elf Druid)	곰 형상 (나이트 엘프 드루이드)
Bear Form (Tauren Druid)	곰 형상 (타우렌 드루이드)
Bearbane	베어베인
Beaten Corpse	짓이겨진 시체
Beatha Fisher	베아타 피셔
Beatrice	브이트리케
Beetix Ficklespragg	비틱스 픽클스프라그
Beetle	딱정벌레
Befouled Arisen	벱아우렏 아리센
Befouled Water Elemental	타락한 물의 정령
Begwynn Blackmallet	베그윈 블랙말렛
Beige Riding Scorpid	베이지색 탑승용 전갈
Beldin Steelgrill	벨딘 스틸그릴
Beldruk Doombrow	벨드룩 둠브라우
Belfry Bat	종탑 박쥐
Belgar	벨가르
Belgrashh	벨그라쉬
Belgrom Rockmaul	벨그롬 록마울
Belgrush Daggerfist	벨그루시 대거피스트
Belia Thundergranite	빌리아 썬더그래니트
Bellygrub	서리먹보
Belnistrasz	벨리스트라즈
Belwyth Redbrand	벨위스 레드브랜드
Ben Goldflame	벤 골드플레임
Ben Trias	벤 트리아스
Bena Winterhoof	베나 윈터후프
Bengal Alpha	벵갈 알파
Bengal Matriarch	벵골의 여걸
Bengal Tiger	벵골 호랑이
Bengor	벤고르
Bengus Deepforge	벤구스 딥포지
Benijah Fenner	베니자 페너
Benjamin Bradley	벤자민 브래들리
Benjamin Carevin	벤자민 카레빈
Benny	베니
Benny Blaanco	베니 블란코
Bentley	벤트레이
Bera Stonehammer	베라 스톤해머
Beram Skychaser	베람 스카이체이서
Bernard Brubaker	버나드 브루베이커
Bernard Gump	버나드 검프
Bernie Heisten	베르니 하이스텐
Berserk Owlbeast	광포한 올빼미야수
Berserk Trogg	광포한 트로그
Bert Mano	버트 마노
Berte	베르테
Bessany Plainswind	베서니 플레인즈윈드
Besseleth	베스셀레스
Bessy	베시
Bethaine Flinthammer	비세인 플린트해머
Bethan Bluewater	베단 블루워터
Bethelon Wildwhisper	베델론 와일드위스퍼
Bethor Iceshard	베소르 아이스샤드
Betina Bigglezink	베티나 비글징크
Betty	베티
Betty Quin	베티 퀸
Beverly Gale	베벨리 가레
Bhag'thera	바그테라
Bhaldaran Ravenshade	발다란 레이븐셰이드
Bhatra	바트라
Bhulf	브훌프
Bibbly F'utzbuckle	비블리 푸츠버클
Bibilfaz Featherwhistle	비빌파즈 페어휘슬
Big Fraggle	빅 프래글
Big Samras	큰곰 삼라스
Big Turtle WoW Bear	빅 터틀 와우 베어
Big Whiskers	큰 우잇켈스
Big Will	싸움꾼 윌
Bijou	비쥬
Bilban Tosslespanner	빌반 토슬스패너
Bile Retcher	부패의 역병골렘
Bile Slime	위액괴물
Bile Sludge	위액 덩어리
Bile Spewer	썩은담즙 누더기골렘
Bilefin Frenzy	비레핀 프렌지
Biletoad	독두꺼비
Bilgerat Corsair	빌지랫 콜스에이르
Bilgerat Slasher	빌지랫 스라시엘
Bilgerat Wavecrasher	빌지랫 아벡라시엘
Billibub Cogspinner	빌리버브 코그스피너
Billy	빌리
Billy Maclure	빌리 맥클루어
Bimble Longberry	빔블 롱베리
Bimock Sparkbrake	비목 스파크브레이크
Bingles Blastenheimer	빙글스 블라스텐하이머
Bingus	빙구스
Binjy Featherwhistle	빈지 페더휘슬
Bink	빙크
Binny Springblade	비니 스프링블레이드
Birgitte Cranston	브리짓 크랭스턴
Bishop	비숍
Bishop DeLavey	주교 드라베이
Bishop Farthing	주교 파딩
Bitterhide	비터하이드
Bixi Wobblebonk	빅시 워블봉크
Bixxle Screwfuse	빅슬 스크루퓨즈
Bizzle Cracksaw	비즐 크랙쏘
Bjarn	비야른
Black Affinity	검은 친화
Black Armored Talbuk	나스마라 문송
Black Ash Digger	블랙 애쉬 디거
Black Battlestrider	검은 전투기계타조
Black Bear	검은곰
Black Bear Cub	흑곰 새끼
Black Bear Patriarch	우두머리 검은곰
Black Blood of Shalla'Aran	샬라아란의 검은 피
Black Blood of the Demented	광기 어린 자의 검은 피
Black Boar	검은 멧돼지
Black Bride	흑인 신부
Black Broodling	검은 새끼용
Black Crane	검은 학
Black Dragon Whelp	새끼 검은용
Black Dragonspawn	검은용혈족
Black Drake	검은 비룡
Black Drakonid	검은용기병
Black Drakonid Spawner	검은용기병 생성기
Black Fox	블랙 폭스
Black Gargantuan Murloc	검은 거대한 멀록
Black Guard Sentry	검은호위대 보초병
Black Guard Swordsmith	검은호위대 검제작자
Black Kingsnake	검은왕뱀
Black Nerubian Bloodfeaster	검은 네루비안 피포식자
Black Ooze	검은 수액괴물
Black Panther Cub	검은 판스엘 새끼
Black Piglet	검은 새끼 돼지
Black Pounder	블랙 분쇄자
Black Qiraji Battle Tank	푸른 퀴라지 전차
Black Ram	검은 산양
Black Rat	곰쥐
Black Ravager	검은약탈자늑대
Black Ravager Mastiff	우두머리 검은약탈자늑대
Black Riding Bear	검은 탑승용 곰
Black Riding Scorpid	검은 탑승용 전갈
Black Riding Wolf	길들인 검은색 늑대
Black Slayer	검은 대머리수리
Black Slime	검은 진흙괴물
Black Spectral Tiger	블랙 스펙트럴 타이거
Black Spidertank	블랙 첩자더탱크
Black Stallion	흑마
Black Tabby	검은얼룩고양이
Black Talbuk	지옥불정령
Black Thalassian Hawkstrider	검은 탈라시안 매타조
Black Thunder Lizard	검은 썬더 도마뱀
Black Tournament Charger	검은 대회 군마
Black Unicorn	검은 우니콜느
Black War Kodo	검은 전투코도
Black War Ram	검은 전투산양
Black War Raptor	검은 전투랩터
Black War Saber	검은 전투호랑이
Black War Scorpion	검은 전쟁 전갈
Black War Steed	검은 전투군마
Black War Wolf	검은 전투늑대
Black Wyrmkin	검은고룡족
Blackbreath Crony	블랙브레스의 친구
Blackened Ancient	타락한 고대정령
Blackened Basilisk	타락한 바실리스크
Blackest Widow	가장 검은 과부거미
Blackfang Tarantula	블랙팽 타란툴라
Blackfathom Myrmidon	검은심연 미르미돈
Blackfathom Oracle	검은심연 예언자
Blackfathom Sea Witch	검은심연 바다 마녀
Blackfathom Tide Priestess	검은심연의 바다여사제
Blackhand Assassin	검은손부대 암살자
Blackhand Dragon Handler	검은손부대 용조련사
Blackhand Dreadweaver	검은손부대 공포술사
Blackhand Elite	검은손부대 정예병
Blackhand Incarcerator	검은손부대 집행자
Blackhand Iron Guard	검은손부대 철갑병
Blackhand Summoner	검은손부대 소환사
Blackhand Thug	검은손부대 암살단원
Blackhand Veteran	검은손부대 고참병
Blackhorn Mystic	검은뿔 신비주의자
Blackhorn Warrior	검은뿔 전사
Blacklash	블랙래쉬
Blackmoss the Fetid	악취나는 검은이끼괴물
Blackpaw	블랙포
Blackrock Ambusher	검은바위 복병
Blackrock Battlemaster	검은바위 지휘관
Blackrock Centurion	검은바위 켄투리온
Blackrock Champion	검은바위 용사
Blackrock Conjurer	검은바위 요술사
Blackrock Drake	검은바위 비룡
Blackrock Gladiator	검은바위 검투사
Blackrock Grunt	검은바위 그런트
Blackrock Hunter	검은바위 사냥꾼
Blackrock Invader	검은바위 침략자
Blackrock Marauder	검은바위 약탈자
Blackrock Outrunner	검은바위 길잡이
Blackrock Poacher	검은바위 포아치엘
Blackrock Pyremaster	검은바위 피레맛텔
Blackrock Raider	검은바위 공격대원
Blackrock Renegade	검은바위 보초병
Blackrock Scout	검은바위 정찰병
Blackrock Sentry	검은바위 파수병
Blackrock Shadowcaster	검은바위 흑마술사
Blackrock Slayer	검은바위 학살자
Blackrock Soldier	검은바위 병사
Blackrock Sorcerer	검은바위 마술사
Blackrock Summoner	검은바위 소환사
Blackrock Tracker	검은바위 추적자
Blackrock Warlock	검은바위 흑마법사
Blackrock Worg	검은바위 검은늑대
Blackroot Avenger	검은뿌리 응징자
Blackroot Den Watcher	검은뿌리 소굴 감시자
Blackroot Forager	검은뿌리 포라겔
Blackroot Pathfinder	검은뿌리 길잡이
Blackroot Runner	검은뿌리 룬넬
Blackroot Shaman	검은뿌리 주술사
Blackroot Tracker	검은뿌리 추적자
Blackroot Ursa	검은뿌리 우르사
Blackroot Warrior	검은뿌리 전사
Blacksand Enforcer	검은모래 집행자
Blacksand Engineer	검은모래 기술자
Blacksand Laborer	검은모래 노동자
Blacksand Mechanic	검은모래 정비사
Blacksand Oilworker	검은모래 유전일꾼
Blacksand Woodworker	검은모래 목수
Blacksmith Rand	대장장이 란드
Blacksmith Torren	대장장이 토렌
Blacksmith Verringtan	대장장이 베링턴
Blackstone Bruiser	블랙스톤 투사
Blackstone Flying Machine	블랙스톤 플라잉 머신
Blackstone Miner	블랙스톤 광부
Blackstone Slave	블랙스톤 슬레이브
Blacktalon Corruptor	블랙탈론 타락자
Blacktalon Felsworn	블랙탈론 지옥서약자
Blacktalon Flamecaller	블랙탈론 불꽃소환사
Blacktalon Trickster	블랙탈론 트릭스터
Blackthorn	블랙쏜
Blackthorn Footpad	블랙쏜 자객
Blacktooth Grunt	검은이빨 보초
Blackvenom Scorpid	검은독전갈
Blackwater Deckhand	검은바다 해적단의 갑판원
Blackwind Bloodguard	검은바람 브르우드구알드
Blackwind Brute	검은바람 야수
Blackwind Earthkeeper	검은바람 이르스크이펠
Blackwind Elder	검은바람 장로
Blackwind Geologist	검은바람 게오로깃트
Blackwind Hunter	검은바람 사냥꾼
Blackwind Overseer	검은바람 감독관
Blackwind Totemkeeper	검은바람 토템크이펠
Blackwind Trapper	검은바람 트랍펠
Blackwind Villager	검은바람 빌라겔
Blackwind Warrior	검은바람 전사
Blackwind Watcher	검은바람 감시자
Blackwing Guard	검은날개 경비병
Blackwing Guardsman	검은날개 수호병
Blackwing Legionnaire	검은날개 부대원
Blackwing Mage	검은날개 마법사
Blackwing Orb Trigger	검은날개 보주 트리거
Blackwing Spellbinder	검은날개 역술사
Blackwing Taskmaster	검은날개 작업반장
Blackwing Trigger	검은날개 트리거
Blackwing Warlock	검은날개 흑마법사
Blackwood Pathfinder	검은나무 길잡이
Blackwood Shaman	검은나무 주술사
Blackwood Totemic	검은나무 토템술사
Blackwood Tracker	검은나무 추적자
Blackwood Ursa	검은나무 펄볼그
Blackwood Warrior	검은나무 전사
Blackwood Windtalker	검은나무 풍수사
Blademaster Axun	검술의 달인 악순
Blademaster Kargron	검귀 카그론
